,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
Q8IWQ3,1.0,0.06,0.056,0.111,0.29,0.236,0.13,0.116,0.187,0.327,0.102,0.121,0.08,0.354,0.084,0.154,0.376,0.114,0.127,0.208
O15554,1.0,1.0,0.586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.569,1.0,1.0,1.0,1.0
P48443,1.0,0.411,0.661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01375,1.0,1.0,0.261,1.0,1.0,0.3,1.0,1.0,1.0,0.458,1.0,0.239,1.0,1.0,1.0,0.545,0.409,1.0,1.0,1.0
Q01538,0.191,1.0,0.235,1.0,0.226,0.329,1.0,0.333,1.0,0.247,1.0,1.0,0.353,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q09472,1.0,0.513,1.0,1.0,1.0,0.379,1.0,1.0,0.187,0.289,0.217,1.0,1.0,1.0,1.0,0.26,0.284,0.266,0.333,1.0
Q9UIF8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.547,1.0,1.0,1.0,1.0
P41145,1.0,1.0,1.0,1.0,1.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.314,0.464,0.323,1.0,1.0
Q13093,1.0,0.571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.049,1.0,0.271,0.381,1.0
P0DMS8,1.0,0.404,0.406,1.0,0.128,0.349,0.035,0.216,0.053,0.207,0.423,0.063,0.077,0.124,0.328,0.183,0.096,0.143,0.15,0.068
Q15118,1.0,0.152,0.066,1.0,0.253,1.0,0.082,0.038,0.116,0.351,0.259,1.0,0.226,1.0,1.0,0.35,1.0,0.139,0.242,1.0
Q9H237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P45452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.438,0.491,1.0,1.0,1.0,1.0,0.078,1.0,1.0,1.0,1.0
Q02224,0.117,0.086,0.059,0.197,0.064,0.034,0.198,0.242,1.0,0.081,0.174,0.167,1.0,0.06,0.037,0.168,0.321,0.187,0.082,0.038
Q86VL8,1.0,0.081,0.009,1.0,1.0,0.263,1.0,1.0,1.0,1.0,0.101,1.0,1.0,0.169,1.0,1.0,0.373,1.0,0.186,1.0
O15054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P04156,0.013,0.127,0.167,0.011,0.049,0.042,0.024,0.029,0.021,0.046,0.062,0.034,0.015,0.051,0.111,0.049,0.032,0.02,0.067,0.02
P15121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.378,1.0,0.081,0.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q96RI1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P31213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
