,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
CHEMBL2107823,0.6,9.0,17.9,0.9,4.3,3.1,0.9,1.0,1.6,0.3,3.0,0.7,0.6,6.8,2.1,0.8,1.3,0.0,7.4,0.0
CHEMBL3137336,0.0,12.3,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0
CHEMBL1230165,0.0,0.0,5.5,0.0,1.6,0.0,0.0,3.3,0.0,0.9,1.6,0.0,0.0,4.2,4.9,4.2,2.1,1.2,4.1,1.1
CHEMBL3360855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.1,0.0,0.0,0.0
CHEMBL2028663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL837,4.1,45.9,46.9,2.5,5.3,4.6,0.4,16.0,4.4,18.0,29.7,3.5,6.2,2.8,21.5,6.3,16.3,18.8,34.4,4.3
CHEMBL1082407,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0
CHEMBL1614701,0.0,3.6,0.0,0.0,0.0,6.4,0.0,0.0,0.0,6.0,19.7,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0
CHEMBL2441340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
CHEMBL98,0.0,7.4,3.0,0.4,1.1,6.5,0.0,1.4,3.9,6.0,3.8,0.7,1.0,5.3,10.0,8.0,8.8,2.0,2.5,0.3
CHEMBL483254,0.0,20.7,20.7,2.1,3.8,15.9,3.0,5.9,9.1,12.8,19.3,3.3,4.7,15.2,18.8,10.5,19.1,8.1,6.9,3.4
CHEMBL1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL124660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3545110,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL460702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2069623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0
CHEMBL2105763,0.0,20.2,18.1,2.7,3.4,12.5,0.0,5.3,8.2,10.5,15.1,3.5,5.0,7.6,13.6,4.8,14.7,7.8,5.3,2.0
CHEMBL1241855,12.5,30.2,32.4,0.0,13.4,13.7,14.8,1.9,1.7,11.3,8.0,0.0,2.8,25.2,32.7,15.9,0.0,8.0,10.7,9.5
CHEMBL1088751,0.0,0.0,4.4,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
